risk_score,Decision
0.9769329445185292,Loan Rejected
0.2789677023165873,Loan Approved
-0.18474794383058332,Loan Approved
0.9205693475234986,Loan Rejected
0.39639137533429103,Loan Approved
0.9014597539319024,Loan Rejected
0.6508515407424922,Loan Review Required
0.4024552665271581,Loan Review Required
0.5746465869304178,Loan Review Required
0.6979722410185756,Loan Review Required
0.6774014261868264,Loan Review Required
0.03405408741587189,Loan Approved
-0.09105112557337257,Loan Approved
0.9176544641345104,Loan Rejected
-0.06319167080147359,Loan Approved
0.7618459698786966,Loan Rejected
0.9453010294774418,Loan Rejected
0.3156125618131615,Loan Approved
0.33265348776754244,Loan Approved
0.3970980313580054,Loan Approved
-0.10284876682819888,Loan Approved
0.05107549870501482,Loan Approved
-0.08850306889228779,Loan Approved
0.7652093693915425,Loan Rejected
0.6274393920940382,Loan Review Required
0.5982620406891006,Loan Review Required
0.013307614246714256,Loan Approved
-0.16437947226960986,Loan Approved
1.1025923690155417,Loan Rejected
0.239019288720844,Loan Approved
1.0098843506874602,Loan Rejected
0.07434187751293153,Loan Approved
0.21952322723177772,Loan Approved
0.2905556767459045,Loan Approved
0.6484980362683794,Loan Review Required
0.002347681357290493,Loan Approved
-0.1296764981535914,Loan Approved
-0.053379298373956205,Loan Approved
0.03509100545538235,Loan Approved
-0.07066852700076072,Loan Approved
-0.2963472557944745,Loan Approved
-0.20392549245146052,Loan Approved
0.0345369165252237,Loan Approved
0.40362210345266997,Loan Review Required
0.013778315902940085,Loan Approved
-0.12971508310253194,Loan Approved
0.23008435700369026,Loan Approved
0.17035339945655004,Loan Approved
0.4681006136734458,Loan Review Required
0.12919762548035224,Loan Approved
0.16196824214692376,Loan Approved
0.12831845881994594,Loan Approved
0.008752114370997488,Loan Approved
0.6661245123173096,Loan Review Required
-0.019541830082263213,Loan Approved
0.7400029111722872,Loan Rejected
-0.050401161323401784,Loan Approved
1.1740258148077432,Loan Rejected
0.19073664518401276,Loan Approved
0.18314021554874824,Loan Approved
0.8058279031622637,Loan Rejected
-0.30661091013916564,Loan Approved
0.024292826471204062,Loan Approved
0.5615720198375371,Loan Review Required
0.9442680686875856,Loan Rejected
0.11389667093906115,Loan Approved
0.5885968713361891,Loan Review Required
0.3771619072498659,Loan Approved
0.7113447253594709,Loan Rejected
-0.06305580903755584,Loan Approved
-0.1993483123763984,Loan Approved
0.8793742430063813,Loan Rejected
0.6706747065493164,Loan Review Required
0.13713315922940095,Loan Approved
0.8062231590752262,Loan Rejected
0.1461555351132437,Loan Approved
-0.004420579609496007,Loan Approved
0.6376556172969958,Loan Review Required
0.7810595539325915,Loan Rejected
-0.061573493745571466,Loan Approved
0.41327469671305894,Loan Review Required
0.08351655971808175,Loan Approved
1.1969707593546106,Loan Rejected
0.4936245951800565,Loan Review Required
0.9827829788674184,Loan Rejected
0.13324850150369516,Loan Approved
0.035107286309877694,Loan Approved
-0.08226124865779005,Loan Approved
0.8419063838419825,Loan Rejected
0.020135030829338943,Loan Approved
0.3687921356674374,Loan Approved
0.4621693057579058,Loan Review Required
0.08715155162963728,Loan Approved
-0.03198876455758425,Loan Approved
0.9830295808592882,Loan Rejected
-0.040257865542011,Loan Approved
0.064226889424262,Loan Approved
0.4404547190966535,Loan Review Required
-0.09030548616029957,Loan Approved
0.3286035077528198,Loan Approved
0.02342984312120775,Loan Approved
0.8780953594796466,Loan Rejected
0.21938814477192253,Loan Approved
0.15600563519557376,Loan Approved
0.17188509730416873,Loan Approved
0.13036984858532488,Loan Approved
-0.15329100767592338,Loan Approved
0.7181356088512969,Loan Rejected
